Sample,Time(S),CH1(V),CH2(V)
179,-0.001421,-0.0798874,-0.926693
180,-0.00142,-0.0798874,-0.878761
181,-0.001419,-0.0798874,-0.830829
182,-0.001418,-0.0639099,-0.782896
183,-0.001417,-0.0639099,-0.734964
184,-0.001416,-0.0639099,-0.687031
185,-0.001415,-0.0798874,-0.623121
186,-0.001414,-0.0479324,-0.575189
187,-0.001413,-0.0479324,-0.527257
188,-0.001412,-0.0639099,-0.463347
189,-0.001411,-0.0798874,-0.431392
190,-0.00141,-0.0798874,-0.383459
191,-0.001409,-0.0798874,-0.319549
192,-0.001408,-0.0639099,-0.271617
193,-0.001407,-0.0639099,-0.207707
194,-0.001406,-0.0798874,-0.159775
195,-0.001405,-0.0798874,-0.111842
196,-0.001404,-0.0479324,-0.0798874
197,-0.001403,-0.0798874,-0.0319549
198,-0.001402,-0.0639099,0.0319549
199,-0.001401,-0.0958648,0.0639099
200,-0.0014,-0.0639099,0.111842
201,-0.001399,-0.0798874,0.175752
202,-0.001398,-0.0798874,0.19173
203,-0.001397,-0.0639099,0.271617
204,-0.001396,-0.0958648,0.319549
205,-0.001395,-0.0958648,0.351504
206,-0.001394,-0.0798874,0.399437
207,-0.001393,-0.0639099,0.479324
208,-0.001392,-0.0798874,0.511279
209,-0.001391,-0.0798874,0.559212
210,-0.00139,-0.0798874,0.607144
211,-0.001389,-0.0639099,0.655076
212,-0.001388,-0.0798874,0.734964
213,-0.001387,-0.0639099,0.766919
214,-0.001386,-0.0958648,0.814851
215,-0.001385,-0.0798874,0.862784
216,-0.001384,-0.0798874,0.894738
217,-0.001383,-0.0798874,0.974626
218,-0.001382,-0.0639099,1.00658
219,-0.001381,-0.0958648,1.05451
220,-0.00138,-0.0958648,1.08647
221,-0.001379,-0.0798874,1.1344
222,-0.001378,-0.0798874,1.21429
223,-0.001377,-0.0639099,1.24624
224,-0.001376,-0.0958648,1.2782
225,-0.001375,-0.0958648,1.32613
226,-0.001374,-0.0958648,1.39004
227,-0.001373,-0.0639099,1.43797
228,-0.001372,-0.0798874,1.4859
229,-0.001371,-0.0798874,1.51786
230,-0.00137,-0.0639099,1.58177
231,-0.001369,-0.0798874,1.59775
232,-0.001368,-0.0798874,1.66166
233,-0.001367,-0.0639099,1.70959
234,-0.001366,-0.0798874,1.7735
235,-0.001365,-0.0639099,1.78948
236,-0.001364,-0.0798874,1.85339
237,-0.001363,-0.0798874,1.90132
238,-0.001362,-0.0798874,1.94925
239,-0.001361,-0.0798874,1.98121
240,-0.00136,-0.0798874,2.01316
241,-0.001359,-0.0798874,2.06109
242,-0.001358,-0.0958648,2.09305
243,-0.001357,-0.0958648,2.17294
244,-0.001356,-0.0958648,2.20489
245,-0.001355,-0.0639099,2.25282
246,-0.001354,-0.0798874,2.28478
247,-0.001353,-0.0798874,2.31673
248,-0.001352,-0.0798874,2.38064
249,-0.001351,-0.0798874,2.4126
250,-0.00135,-0.0958648,2.44455
251,-0.001349,-0.0798874,2.50846
252,-0.001348,-0.0798874,2.54042
253,-0.001347,-0.0958648,2.5564
254,-0.001346,-0.0798874,2.63628
255,-0.001345,-0.0639099,2.66824
256,-0.001344,-0.0798874,2.68422
257,-0.001343,-0.0798874,2.73215
258,-0.001342,-0.0798874,2.78008
259,-0.001341,-0.0798874,2.82801
