Sample,Time(S),CH1(V),CH2(V)
386,-0.00412,-0.818482,-0.785075
387,-0.00411,-0.785075,-0.768371
388,-0.0041,-0.751667,-0.684853
389,-0.00409,-0.701556,-0.668149
390,-0.00408,-0.634741,-0.601334
391,-0.00407,-0.58463,-0.551223
392,-0.00406,-0.551223,-0.467704
393,-0.00405,-0.451,-0.434297
394,-0.00404,-0.417593,-0.384186
395,-0.00403,-0.367482,-0.317371
396,-0.00402,-0.283963,-0.233852
397,-0.00401,-0.233852,-0.200445
398,-0.004,-0.167037,-0.116926
399,-0.00399,-0.100222,-0.0835186
400,-0.00398,-0.0668149,-0.0334074
401,-0.00397,0.0334074,0.0501112
402,-0.00396,0.0668149,0.116926
403,-0.00395,0.150333,0.183741
404,-0.00394,0.200445,0.217148
405,-0.00393,0.250556,0.300667
406,-0.00392,0.317371,0.350778
407,-0.00391,0.367482,0.417593
408,-0.0039,0.434297,0.467704
409,-0.00389,0.451,0.534519
410,-0.00388,0.534519,0.567927
411,-0.00387,0.601334,0.634741
412,-0.00386,0.618038,0.668149
413,-0.00385,0.684853,0.701556
414,-0.00384,0.71826,0.751667
415,-0.00383,0.751667,0.785075
416,-0.00382,0.785075,0.818482
417,-0.00381,0.818482,0.868594
418,-0.0038,0.835186,0.868594
419,-0.00379,0.868594,0.902001
420,-0.00378,0.885297,0.918705
421,-0.00377,0.885297,0.918705
422,-0.00376,0.918705,0.952112
423,-0.00375,0.918705,0.952112
424,-0.00374,0.918705,0.952112
425,-0.00373,0.918705,0.952112
426,-0.00372,0.918705,0.952112
427,-0.00371,0.902001,0.952112
428,-0.0037,0.902001,0.935408
429,-0.00369,0.885297,0.902001
430,-0.00368,0.868594,0.902001
431,-0.00367,0.835186,0.902001
432,-0.00366,0.835186,0.85189
433,-0.00365,0.785075,0.835186
434,-0.00364,0.751667,0.801779
435,-0.00363,0.71826,0.785075
436,-0.00362,0.668149,0.701556
437,-0.00361,0.634741,0.668149
438,-0.0036,0.601334,0.651445
439,-0.00359,0.551223,0.58463
440,-0.00358,0.501112,0.534519
441,-0.00357,0.434297,0.467704
442,-0.00356,0.384186,0.434297
443,-0.00355,0.317371,0.367482
444,-0.00354,0.283963,0.300667
445,-0.00353,0.200445,0.26726
446,-0.00352,0.13363,0.183741
447,-0.00351,0.100222,0.13363
448,-0.0035,0.0334074,0.0668149
449,-0.00349,-0.0501112,0
450,-0.00348,-0.100222,-0.0501112
451,-0.00347,-0.167037,-0.116926
452,-0.00346,-0.200445,-0.183741
453,-0.00345,-0.300667,-0.233852
454,-0.00344,-0.350778,-0.317371
455,-0.00343,-0.384186,-0.367482
456,-0.00342,-0.451,-0.400889
457,-0.00341,-0.534519,-0.467704
458,-0.0034,-0.58463,-0.534519
459,-0.00339,-0.634741,-0.58463
460,-0.00338,-0.668149,-0.651445
461,-0.00337,-0.751667,-0.684853
462,-0.00336,-0.768371,-0.71826
463,-0.00335,-0.835186,-0.785075
464,-0.00334,-0.85189,-0.818482
465,-0.00333,-0.885297,-0.85189
466,-0.00332,-0.935408,-0.885297
467,-0.00331,-0.935408,-0.902001
468,-0.0033,-1.00222,-0.935408
469,-0.00329,-1.00222,-0.968816
470,-0.00328,-1.01893,-0.968816
471,-0.00327,-1.05233,-1.01893
472,-0.00326,-1.06904,-1.01893
473,-0.00325,-1.06904,-1.03563
474,-0.00324,-1.06904,-1.03563
475,-0.00323,-1.06904,-1.03563
476,-0.00322,-1.06904,-1.03563
477,-0.00321,-1.05233,-1.00222
478,-0.0032,-1.05233,-1.01893
479,-0.00319,-1.03563,-0.968816
480,-0.00318,-1.00222,-0.968816
481,-0.00317,-1.00222,-0.935408
482,-0.00316,-0.968816,-0.902001
483,-0.00315,-0.918705,-0.902001
484,-0.00314,-0.885297,-0.85189
485,-0.00313,-0.85189,-0.818482
486,-0.00312,-0.818482,-0.785075
487,-0.00311,-0.785075,-0.734964
488,-0.0031,-0.751667,-0.701556
489,-0.00309,-0.701556,-0.668149
490,-0.00308,-0.634741,-0.601334
491,-0.00307,-0.58463,-0.551223
492,-0.00306,-0.534519,-0.484408
493,-0.00305,-0.451,-0.417593
494,-0.00304,-0.417593,-0.384186
495,-0.00303,-0.350778,-0.334074
496,-0.00302,-0.300667,-0.26726
497,-0.00301,-0.233852,-0.200445
498,-0.003,-0.167037,-0.13363
499,-0.00299,-0.100222,-0.0668149
500,-0.00298,-0.0668149,-0.0334074
501,-0.00297,0.0334074,0.0501112
502,-0.00296,0.0668149,0.116926
503,-0.00295,0.13363,0.183741
504,-0.00294,0.200445,0.217148
505,-0.00293,0.250556,0.300667
506,-0.00292,0.317371,0.350778
507,-0.00291,0.367482,0.417593
508,-0.0029,0.417593,0.467704
509,-0.00289,0.484408,0.534519
510,-0.00288,0.534519,0.567927
511,-0.00287,0.601334,0.634741
512,-0.00286,0.634741,0.668149
513,-0.00285,0.668149,0.701556
514,-0.00284,0.71826,0.751667
515,-0.00283,0.751667,0.785075
516,-0.00282,0.785075,0.818482
517,-0.00281,0.818482,0.868594
518,-0.0028,0.835186,0.868594
519,-0.00279,0.868594,0.902001
520,-0.00278,0.885297,0.918705
521,-0.00277,0.885297,0.935408
522,-0.00276,0.902001,0.952112
523,-0.00275,0.918705,0.952112
524,-0.00274,0.918705,0.952112
525,-0.00273,0.918705,0.952112
526,-0.00272,0.918705,0.952112
527,-0.00271,0.918705,0.952112
528,-0.0027,0.902001,0.952112
529,-0.00269,0.885297,0.902001
530,-0.00268,0.868594,0.902001
531,-0.00267,0.85189,0.902001
532,-0.00266,0.818482,0.85189
533,-0.00265,0.785075,0.835186
534,-0.00264,0.751667,0.801779
535,-0.00263,0.71826,0.785075
536,-0.00262,0.668149,0.701556
537,-0.00261,0.634741,0.668149
538,-0.0026,0.601334,0.651445
539,-0.00259,0.551223,0.58463
540,-0.00258,0.501112,0.534519
541,-0.00257,0.434297,0.467704
542,-0.00256,0.384186,0.417593
543,-0.00255,0.334074,0.367482
544,-0.00254,0.283963,0.300667
545,-0.00253,0.217148,0.26726
546,-0.00252,0.150333,0.200445
547,-0.00251,0.0835186,0.13363
548,-0.0025,0.0501112,0.0668149
549,-0.00249,-0.0334074,0
550,-0.00248,-0.100222,-0.0501112
551,-0.00247,-0.150333,-0.116926
552,-0.00246,-0.217148,-0.183741
553,-0.00245,-0.283963,-0.217148
554,-0.00244,-0.350778,-0.300667
555,-0.00243,-0.384186,-0.367482
556,-0.00242,-0.451,-0.400889
557,-0.00241,-0.534519,-0.467704
558,-0.0024,-0.58463,-0.534519
559,-0.00239,-0.618038,-0.58463
560,-0.00238,-0.668149,-0.651445
561,-0.00237,-0.751667,-0.684853
562,-0.00236,-0.768371,-0.71826
563,-0.00235,-0.835186,-0.785075
564,-0.00234,-0.85189,-0.818482
565,-0.00233,-0.885297,-0.85189
566,-0.00232,-0.935408,-0.885297
567,-0.00231,-0.935408,-0.902001
568,-0.0023,-1.00222,-0.952112
569,-0.00229,-1.00222,-0.952112
570,-0.00228,-1.01893,-0.968816
571,-0.00227,-1.05233,-1.01893
572,-0.00226,-1.05233,-1.01893
573,-0.00225,-1.06904,-1.03563
574,-0.00224,-1.06904,-1.03563
575,-0.00223,-1.06904,-1.03563
576,-0.00222,-1.06904,-1.03563
577,-0.00221,-1.05233,-1.01893
578,-0.0022,-1.05233,-1.01893
579,-0.00219,-1.03563,-1.00222
580,-0.00218,-1.01893,-0.952112
581,-0.00217,-0.98552,-0.952112
582,-0.00216,-0.98552,-0.918705
583,-0.00215,-0.918705,-0.885297
584,-0.00214,-0.885297,-0.85189
585,-0.00213,-0.85189,-0.818482
586,-0.00212,-0.818482,-0.785075
587,-0.00211,-0.785075,-0.734964
588,-0.0021,-0.751667,-0.684853
589,-0.00209,-0.701556,-0.668149
590,-0.00208,-0.634741,-0.601334
591,-0.00207,-0.58463,-0.551223
592,-0.00206,-0.551223,-0.484408
593,-0.00205,-0.501112,-0.417593
594,-0.00204,-0.417593,-0.384186
595,-0.00203,-0.350778,-0.317371
596,-0.00202,-0.283963,-0.233852
597,-0.00201,-0.233852,-0.200445
598,-0.002,-0.167037,-0.13363
599,-0.00199,-0.100222,-0.0668149
600,-0.00198,-0.0668149,-0.0334074
601,-0.00197,0.0167037,0.0668149
602,-0.00196,0.0835186,0.100222
603,-0.00195,0.13363,0.167037
604,-0.00194,0.200445,0.250556
605,-0.00193,0.26726,0.283963
606,-0.00192,0.300667,0.350778
607,-0.00191,0.367482,0.417593
608,-0.0019,0.417593,0.467704
609,-0.00189,0.484408,0.534519
610,-0.00188,0.534519,0.58463
611,-0.00187,0.601334,0.618038
612,-0.00186,0.634741,0.668149
613,-0.00185,0.668149,0.701556
614,-0.00184,0.71826,0.751667
615,-0.00183,0.751667,0.785075
616,-0.00182,0.785075,0.818482
617,-0.00181,0.818482,0.868594
618,-0.0018,0.835186,0.868594
619,-0.00179,0.868594,0.902001
620,-0.00178,0.885297,0.918705
621,-0.00177,0.885297,0.918705
622,-0.00176,0.902001,0.952112
623,-0.00175,0.918705,0.952112
624,-0.00174,0.918705,0.952112
625,-0.00173,0.918705,0.952112
626,-0.00172,0.918705,0.952112
627,-0.00171,0.918705,0.952112
628,-0.0017,0.902001,0.935408
629,-0.00169,0.885297,0.902001
630,-0.00168,0.868594,0.918705
631,-0.00167,0.835186,0.885297
