Sample,Time(S),CH1(V),CH2(V)
266,-0.003734,-0.0639099,4.21805
267,-0.003733,-0.0639099,4.21805
268,-0.003732,-0.0639099,4.21805
269,-0.003731,-0.0639099,4.21805
270,-0.00373,-0.0639099,4.21805
271,-0.003729,-0.0639099,4.21805
272,-0.003728,-0.0639099,4.21805
273,-0.003727,-0.0639099,4.21805
274,-0.003726,-0.0639099,4.21805
275,-0.003725,-0.0639099,4.21805
276,-0.003724,-0.0798874,4.21805
277,-0.003723,-0.0798874,4.21805
278,-0.003722,-0.0798874,4.21805
279,-0.003721,-0.0479324,4.21805
280,-0.00372,-0.0798874,4.21805
281,-0.003719,-0.0479324,4.21805
282,-0.003718,-0.0639099,4.21805
283,-0.003717,-0.0639099,4.21805
284,-0.003716,-0.0798874,4.21805
285,-0.003715,-0.0798874,4.21805
286,-0.003714,-0.0798874,4.20208
287,-0.003713,-0.0798874,4.21805
288,-0.003712,-0.0639099,4.21805
289,-0.003711,-0.0639099,4.21805
290,-0.00371,-0.0798874,4.21805
291,-0.003709,-0.0798874,4.21805
292,-0.003708,-0.0798874,4.1861
293,-0.003707,-0.0798874,4.21805
294,-0.003706,-0.0798874,4.21805
295,-0.003705,-0.0798874,4.21805
296,-0.003704,-0.0798874,4.21805
297,-0.003703,-0.0798874,4.21805
298,-0.003702,-0.0798874,4.20208
299,-0.003701,-0.0798874,4.1861
300,-0.0037,-0.0798874,4.21805
301,-0.003699,-0.0798874,4.20208
302,-0.003698,-0.0798874,4.21805
303,-0.003697,-0.0798874,4.21805
304,-0.003696,-0.0798874,4.21805
305,-0.003695,-0.0798874,4.21805
306,-0.003694,-0.0798874,4.20208
307,-0.003693,-0.0798874,4.20208
308,-0.003692,-0.0798874,4.20208
309,-0.003691,-0.0798874,4.21805
310,-0.00369,-0.0798874,4.1861
311,-0.003689,-0.0798874,4.21805
312,-0.003688,-0.0798874,4.1861
313,-0.003687,-0.0798874,4.21805
314,-0.003686,-0.0798874,4.21805
315,-0.003685,-0.0798874,4.20208
316,-0.003684,-0.0798874,4.20208
317,-0.003683,-0.0798874,4.20208
318,-0.003682,-0.0798874,4.21805
319,-0.003681,-0.0798874,4.21805
320,-0.00368,-0.0798874,4.21805
321,-0.003679,-0.0798874,4.21805
322,-0.003678,-0.0798874,4.1861
323,-0.003677,-0.0798874,4.1861
324,-0.003676,-0.0798874,4.25001
325,-0.003675,-0.0798874,4.20208
326,-0.003674,-0.0798874,4.20208
327,-0.003673,-0.0798874,4.20208
328,-0.003672,-0.0798874,4.20208
329,-0.003671,-0.0798874,4.20208
330,-0.00367,-0.0798874,4.1861
331,-0.003669,-0.0798874,4.21805
332,-0.003668,-0.0798874,4.21805
333,-0.003667,-0.0798874,4.21805
334,-0.003666,-0.0798874,4.21805
335,-0.003665,-0.0798874,4.1861
336,-0.003664,-0.0798874,4.1861
337,-0.003663,-0.0798874,4.21805
338,-0.003662,-0.0798874,4.21805
339,-0.003661,-0.0798874,4.21805
340,-0.00366,-0.0798874,4.1861
341,-0.003659,-0.0798874,4.20208
342,-0.003658,-0.0798874,4.20208
343,-0.003657,-0.0798874,4.20208
344,-0.003656,-0.0798874,4.20208
345,-0.003655,-0.0798874,4.21805
346,-0.003654,-0.0798874,4.21805
347,-0.003653,-0.0798874,4.1861
348,-0.003652,-0.0639099,4.20208
349,-0.003651,-0.0798874,4.21805
350,-0.00365,-0.0798874,4.21805
351,-0.003649,-0.0798874,4.21805
352,-0.003648,-0.0798874,4.21805
353,-0.003647,-0.0798874,4.20208
354,-0.003646,-0.0798874,4.20208
355,-0.003645,-0.0798874,4.20208
356,-0.003644,-0.0798874,4.20208
357,-0.003643,-0.0798874,4.20208
358,-0.003642,-0.0798874,4.21805
359,-0.003641,-0.0798874,4.21805
360,-0.00364,-0.0798874,4.1861
361,-0.003639,-0.0798874,4.20208
362,-0.003638,-0.0798874,4.21805
363,-0.003637,-0.0798874,4.21805
364,-0.003636,-0.0798874,4.21805
365,-0.003635,-0.0798874,4.21805
366,-0.003634,-0.0798874,4.21805
367,-0.003633,-0.0798874,4.21805
368,-0.003632,-0.0798874,4.21805
369,-0.003631,-0.0798874,4.21805
370,-0.00363,-0.0639099,4.21805
371,-0.003629,-0.0798874,4.20208
372,-0.003628,-0.0798874,4.20208
373,-0.003627,-0.0798874,4.21805
374,-0.003626,-0.0798874,4.21805
375,-0.003625,-0.0639099,4.21805
376,-0.003624,-0.0958648,4.21805
377,-0.003623,-0.0798874,4.21805
378,-0.003622,-0.0798874,4.21805
379,-0.003621,-0.0798874,4.21805
380,-0.00362,-0.0798874,4.21805
381,-0.003619,-0.0798874,4.21805
382,-0.003618,-0.0798874,4.21805
383,-0.003617,-0.0798874,4.21805
384,-0.003616,-0.0798874,4.1861
385,-0.003615,-0.0798874,4.21805
386,-0.003614,-0.0798874,4.21805
387,-0.003613,-0.0798874,4.21805
388,-0.003612,-0.0798874,4.21805
389,-0.003611,-0.0798874,4.21805
390,-0.00361,-0.0798874,4.21805
391,-0.003609,-0.0798874,4.21805
392,-0.003608,-0.0798874,4.21805
393,-0.003607,-0.0798874,4.21805
394,-0.003606,-0.0798874,4.21805
395,-0.003605,-0.0798874,4.21805
396,-0.003604,-0.0798874,4.21805
397,-0.003603,-0.0798874,4.21805
398,-0.003602,-0.0798874,4.21805
399,-0.003601,-0.0798874,4.21805
400,-0.0036,-0.0798874,4.21805
401,-0.003599,-0.0798874,4.21805
402,-0.003598,-0.0798874,4.21805
403,-0.003597,-0.0798874,4.21805
404,-0.003596,-0.0798874,4.20208
405,-0.003595,-0.0798874,4.25001
406,-0.003594,-0.0798874,4.20208
407,-0.003593,-0.0798874,4.21805
408,-0.003592,-0.0798874,4.25001
409,-0.003591,-0.0798874,4.20208
410,-0.00359,-0.0798874,4.21805
411,-0.003589,-0.0798874,4.21805
412,-0.003588,-0.0798874,4.21805
413,-0.003587,-0.0798874,4.21805
414,-0.003586,-0.0798874,4.21805
415,-0.003585,-0.0798874,4.20208
416,-0.003584,-0.0798874,4.25001
417,-0.003583,-0.0798874,4.20208
418,-0.003582,-0.0798874,4.21805
419,-0.003581,-0.0798874,4.20208
420,-0.00358,-0.0798874,4.25001
421,-0.003579,-0.0798874,4.20208
422,-0.003578,-0.0798874,4.21805
423,-0.003577,-0.0798874,4.21805
424,-0.003576,-0.0798874,4.21805
425,-0.003575,-0.0798874,4.21805
426,-0.003574,-0.0798874,4.21805
427,-0.003573,-0.0798874,4.21805
428,-0.003572,-0.0798874,4.21805
429,-0.003571,-0.0798874,4.21805
430,-0.00357,-0.0798874,4.20208
431,-0.003569,-0.0798874,4.25001
432,-0.003568,-0.0798874,4.20208
433,-0.003567,-0.0798874,4.21805
434,-0.003566,-0.0798874,4.20208
435,-0.003565,-0.0798874,4.25001
436,-0.003564,-0.0798874,4.20208
437,-0.003563,-0.0798874,4.21805
438,-0.003562,-0.0798874,4.21805
439,-0.003561,-0.0798874,4.25001
440,-0.00356,-0.0798874,4.20208
441,-0.003559,-0.0798874,4.21805
442,-0.003558,-0.0798874,4.21805
443,-0.003557,-0.0798874,4.21805
444,-0.003556,-0.0798874,4.21805
445,-0.003555,-0.0798874,4.21805
446,-0.003554,-0.0798874,4.21805
447,-0.003553,-0.0798874,4.21805
448,-0.003552,-0.0798874,4.21805
449,-0.003551,-0.0798874,4.21805
450,-0.00355,-0.0798874,4.21805
451,-0.003549,-0.0798874,4.21805
452,-0.003548,-0.0798874,4.20208
453,-0.003547,-0.0798874,4.25001
454,-0.003546,-0.0798874,4.21805
455,-0.003545,-0.0798874,4.21805
456,-0.003544,-0.0798874,4.21805
